source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_sub_activity_value,tot_sub_activity_value_EUR,item_value_estimate_USD,item_value_estimate_deliv_USD
3400000.0,,,,,450000.0,
230000.0,230000.0,230000.0,230000.0,230000.0,,
60600000.0,60600000.0,60600000.0,,,,
800000.0,800000.0,800000.0,800000.0,800000.0,,
600000.0,600000.0,600000.0,600000.0,600000.0,,
14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,,
7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,,
3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
1850000.0,1850000.0,1850000.0,1850000.0,1850000.0,,
1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,,
600000.0,600000.0,600000.0,600000.0,600000.0,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
11260000.0,11260000.0,11260000.0,11260000.0,11260000.0,,
2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,,
2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,
60200000.0,60200000.0,60200000.0,,,,
7000000.0,,,7000000.0,7000000.0,,
8000000.0,,,8000000.0,8000000.0,,
9000000.0,,,9000000.0,9000000.0,,
6000000.0,,,6000000.0,6000000.0,,
2000000.0,,,2000000.0,2000000.0,,
1000000.0,,,1000000.0,1000000.0,,
150000000.0,,,150000000.0,150000000.0,,
9000000.0,,,9000000.0,9000000.0,,
200000.0,,,200000.0,200000.0,,
10200000.0,10200000.0,10200000.0,,,,
,,,,,,
150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,,
76000000.0,76000000.0,76000000.0,76000000.0,76000000.0,6000000.0,6000000.0
76000000.0,,,,,6127500.0,6127500.0
76000000.0,,,,,9000000.0,9000000.0
76000000.0,,,,,295000.0,295000.0
76000000.0,,,,,7000000.0,7000000.0
76000000.0,,,,,9000.0,9000.0
76000000.0,,,,,1488472.0,1488472.0
76000000.0,,,,,56437500.0,56437500.0
